Year,District,Tree Cover (%)
2018,Dungarpur,2.1998381317243525
2019,Dungarpur,3.265063343326468
2020,Dungarpur,5.433657188765562
2000,Jaisalmer,0.03176124412115349
2001,Jaisalmer,0.15480743395186314
2002,Jaisalmer,0.005506965142487057
2003,Jaisalmer,0.4662898586453591
2004,Jaisalmer,0.022249350451955204
2005,Jaisalmer,0.004113232466983549
2006,Jaisalmer,0.04977891170198426
2007,Jaisalmer,0.038487764725685644
2008,Jaisalmer,0.04729617773257038
2009,Jaisalmer,0.055755853851594234
2010,Jaisalmer,0.5793245033300305
2011,Jaisalmer,0.5133510703720702
2012,Jaisalmer,0.19112122317849195
2013,Jaisalmer,0.14011310450005096
2014,Jaisalmer,0.018085228181711138
2015,Jaisalmer,0.13330664955821367
2016,Jaisalmer,0.035720367325389656
2017,Jaisalmer,0.1323465825978514
2018,Jaisalmer,0.03270018573878279
2019,Jaisalmer,0.02841234860199163
2020,Jaisalmer,0.06840149751007796
2000,Jalor,1.3590107185019853
2001,Jalor,1.0563196905197652
2002,Jalor,1.0970864067252295
2003,Jalor,1.3086282499666086
2004,Jalor,1.2896614679975882
2005,Jalor,1.0126736504449625
2006,Jalor,1.8619231223830754
2007,Jalor,1.6220650368724439
2008,Jalor,1.5027488622499556
2009,Jalor,1.2141044910431635
2010,Jalor,1.3272519248973886
2011,Jalor,1.196063866806409
2012,Jalor,1.4948148630268647
2013,Jalor,1.754598679161796
2014,Jalor,1.6081055197035037
2015,Jalor,1.5336539355013281
2016,Jalor,1.2499215124065728
2017,Jalor,1.7243841150196524
2018,Jalor,1.2216026270402542
2019,Jalor,1.2722933467712794
2020,Jalor,2.613857890086642
2000,Jhalawar,6.9433329762955855
2001,Jhalawar,5.311335672477244
2002,Jhalawar,8.19351892354691
2003,Jhalawar,4.445441471934907
2004,Jhalawar,6.491176294823974
2005,Jhalawar,8.09561518196731
2006,Jhalawar,7.005989819147302
2007,Jhalawar,6.30094787101629
2008,Jhalawar,7.2484328016228385
2009,Jhalawar,9.410410507349681
2010,Jhalawar,4.953763850485148
2011,Jhalawar,5.217570193215414
2012,Jhalawar,6.352260041757707
2013,Jhalawar,14.166002581225959
2014,Jhalawar,9.08923870663719
2015,Jhalawar,9.626077656136127
2016,Jhalawar,7.155606079644317
2017,Jhalawar,7.957448708153312
2018,Jhalawar,6.232448683193942
2019,Jhalawar,9.655349426084406
2020,Jhalawar,11.050043949871869
2000,Jhunjhunun,2.3346385077353773
2001,Jhunjhunun,1.8847381881838072
2002,Jhunjhunun,1.29384741175464
2003,Jhunjhunun,1.7389350039177067
2004,Jhunjhunun,1.769832664206801
2005,Jhunjhunun,2.6958604599042064
2006,Jhunjhunun,2.5354261588717293
2007,Jhunjhunun,1.9970966548433489
2008,Jhunjhunun,2.601994570727071
2009,Jhunjhunun,2.262766288729543
2010,Jhunjhunun,2.212451305507131
2011,Jhunjhunun,1.8370622122283515
2012,Jhunjhunun,3.1381468573299562
2013,Jhunjhunun,3.330349647333323
2014,Jhunjhunun,3.13623601788812
2015,Jhunjhunun,2.5795042833958632
2016,Jhunjhunun,2.2468086737217945
2017,Jhunjhunun,2.8047557213342365
2018,Jhunjhunun,2.533644428233793
2019,Jhunjhunun,2.2177032359824755
2020,Jhunjhunun,3.807048641231837
2000,Jodhpur,0.5149333308042917
2001,Jodhpur,0.6915749398135154
2002,Jodhpur,0.22490904052756852
2003,Jodhpur,1.0383772834707177
2004,Jodhpur,0.5281169570820287
2005,Jodhpur,0.31797061349947114
2006,Jodhpur,0.564304605072102
2007,Jodhpur,0.5899852303430909
2008,Jodhpur,0.7228367301657652
2009,Jodhpur,0.54786027358474
2010,Jodhpur,1.134597762608454
2011,Jodhpur,1.0284761983357424
2012,Jodhpur,0.9815186168729899
2013,Jodhpur,1.3955077940514349
2014,Jodhpur,0.8873946550071722
2015,Jodhpur,0.9664728558700698
2016,Jodhpur,0.7383146973268163
2017,Jodhpur,1.2881200133478357
2018,Jodhpur,0.9271836258188398
2019,Jodhpur,0.834406034702385
2020,Jodhpur,1.2697539285367658
2000,Nagaur,1.1307975061906905
2001,Nagaur,1.0917063351640321
2002,Nagaur,0.7338021130567834
2003,Nagaur,1.3183718638340334
2004,Nagaur,1.0201877290417452
2005,Nagaur,0.900618494945864
2006,Nagaur,1.099749957756311
2007,Nagaur,1.1475348286852627
2008,Nagaur,1.4592613866151012
2009,Nagaur,1.0210391075806498
2010,Nagaur,1.2790866354660442
