,State,Year,Temperature (°C)
687,West Bengal,2015,30.66176026952411
688,West Bengal,2016,31.03884568275968
689,West Bengal,2017,30.805105849991396
690,West Bengal,2018,30.68173840849561
691,West Bengal,2019,31.29297301275256
692,West Bengal,2020,31.147557575042875
693,West Bengal,2021,31.500219364073722
694,West Bengal,2022,31.355577811904844
695,West Bengal,2023,31.861788572944967
696,Arunachal Pradesh,2000,22.909623170285705
697,Arunachal Pradesh,2001,23.619737129880434
698,Arunachal Pradesh,2002,23.546364842025195
699,Arunachal Pradesh,2003,23.496943114976624
700,Arunachal Pradesh,2004,23.2328951253386
